	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS03535	20134	8793	22259	5026	12674	15080	11648	9123	17447	14738	17073	15683	13193	34275	16159
MCA_RS03540	42737	18112	39809	9804	20688	26724	24322	18906	35829	28911	32153	26551	21435	51221	30424
MCA_RS03545	15345	5194	14576	4108	7067	9128	8967	5123	12256	11299	10163	12822	7540	18380	8579
MCA_RS03550	3038	1307	2461	208	438	777	1589	2438	1775	2792	4361	2894	1751	4191	3014
MCA_RS03555	6686	2252	5328	875	1820	2086	2998	2211	5071	3766	4803	5489	3217	7566	5828
MCA_RS03570	16357	6701	17003	4012	8695	10414	9564	6779	13755	12029	11989	12882	8189	20417	11783
MCA_RS03575	2606	996	2317	495	828	834	1646	2082	2298	1376	2327	1824	1224	3572	1596
MCA_RS03580	1007	4	878	123	98	332	417	517	718	753	453	762	403	1345	266
MCA_RS03585	2507	1095	1923	577	753	1498	1379	1390	1721	1730	3013	1761	895	3059	2274
MCA_RS15920	128	158	345	36	133	0	178	264	174	124	519	227	51	66	349
MCA_RS03595	814	337	594	96	0	0	398	538	798	922	774	769	335	533	324
MCA_RS03600	5067	2514	4861	885	1385	1462	2706	2315	4329	3778	4074	5191	2220	5636	3516
MCA_RS03605	17152	7806	16946	2561	4800	7393	12664	10327	12464	13330	19587	12420	8203	23658	11467
MCA_RS03610	395	164	367	85	0	548	284	420	249	174	402	253	179	1003	130
MCA_RS15925	497	124	385	27	0	0	323	83	365	194	446	0	59	94	361
MCA_RS15580	1351	1278	870	75	0	429	591	561	862	1263	1024	1445	840	1873	1059
MCA_RS03615	2724	1013	2119	495	1433	1687	2106	2250	1900	1673	3114	2192	1008	3643	1898
MCA_RS15320	1127	187	530	162	295	105	829	107	635	403	1741	980	228	914	733
MCA_RS03630	22717	11745	19749	2655	5632	7276	13256	12489	15053	14110	19352	14020	12238	22708	17014
MCA_RS03635	4260	2248	4962	403	1500	2008	2458	3243	4353	3658	6827	3252	2538	8414	5217
MCA_RS03640	1851	733	2142	111	152	217	2090	2344	1713	2203	2145	1439	1197	3478	1920
