	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS09110	7.749732309	7.704018081	8.020722759	8.596065095	8.833282542	8.45766818	7.417033027	7.446674037	8.112815654	7.540901076	7.544462028	7.331952168	7.800662054	7.909635546	7.712527244
MCA_RS09115	9.739615892	9.851121221	9.33752253	10.06310984	9.637785542	9.655456378	9.6023243	9.478800611	9.226368353	9.348622859	9.268170182	8.937989418	9.419218035	9.347810602	9.215058975
MCA_RS09120	10.27216531	10.3299683	10.36013846	10.96067932	11.55892789	10.81185768	10.53351788	10.69633238	10.52467175	10.46454279	10.09004837	10.36156596	10.46876608	10.41927049	10.5272724
MCA_RS09125	7.707373007	7.621014611	7.593552852	7.756160591	8.923035562	7.622410923	8.224415667	7.52907248	7.585096001	7.709360035	7.673199373	7.59332933	7.473081821	7.952729827	7.462402187
MCA_RS09130	9.210584857	9.690562278	8.975990136	8.929226474	8.224945586	9.18550158	9.065301166	9.224044851	9.339477564	9.13445827	8.930188957	8.781044999	8.997357722	8.933954142	9.346335506
MCA_RS09135	6.892764351	6.054535608	6.820116352	5.359324072	6.153282192	6.146993867	6.877932693	6.686790182	6.825964759	6.377313444	6.665555907	6.407953622	6.110336343	6.487174821	6.287269869
MCA_RS09140	7.361438944	7.39399751	7.315005597	7.204435534	7.121390477	6.621310508	7.491486229	7.305660391	7.338860947	7.229581007	7.253600453	6.953855678	6.909243841	7.391252256	7.278976082
MCA_RS09145	8.245937162	8.748263331	8.412652063	7.585833408	7.36632709	7.425368004	8.347236121	8.489061213	8.15957139	8.12031525	8.675283951	8.043131752	7.913363831	8.051412539	8.220891981
MCA_RS09150	7.57958931	7.663377445	7.943500436	7.151130135	7.596342352	7.564529547	8.016179959	7.877181455	7.802107101	7.849396572	8.120778737	7.602358675	7.451977444	7.841253044	6.951190795
MCA_RS09155	7.49114563	7.913131777	7.28830948	7.114955089	6.491545191	6.415824354	7.631709097	7.889850933	7.189236298	7.294678112	7.644663251	6.17472233	6.511123846	7.042780787	7.295451553
MCA_RS09160	7.41938579	6.909612792	7.549494253	8.092377993	7.243158537	7.407788249	7.770977133	8.103738543	7.604244793	7.83829032	7.627845485	7.71587893	7.632444485	7.683149333	8.100093687
MCA_RS09165	6.477134209	6.522546312	6.795433196	6.939078964	6.982899939	7.420993107	6.175323665	5.456748867	6.333083509	6.256668893	6.440244554	6.722973003	7.050368274	6.456126009	6.931618288
